EPIC ID,campaign,RA (J2000) [deg],Dec (J2000) [deg],magnitude
220429217,8,12.0957300,5.2806150,5.507
220175332,8,18.7048800,-0.9737940,5.652
220638842,8,17.0909850,9.9081950,6.364
220292272,8,18.1276800,2.4715770,6.488
220292272,8,18.1276800,2.4715770,6.488
220523471,8,22.2629100,7.2940910,6.530
220503133,8,14.5810650,6.8443110,6.534
220604823,8,15.6776700,9.1329560,6.760
220604823,8,15.6776700,9.1329560,6.760
220569769,8,16.6567650,8.3600370,6.912
220374617,8,16.4246100,4.1985430,7.073
220194189,8,12.4789800,-0.2241360,7.087
220623859,8,17.7261750,9.5638990,7.105
220623859,8,17.7261750,9.5638990,7.105
220369033,8,13.3312050,4.0862250,7.141
220633563,8,18.9447300,9.7848690,7.156
220702889,8,16.7666100,11.5520950,7.236
220244848,8,21.3337800,1.4608580,7.254
220154470,8,16.7958000,-1.7320820,7.285
220657704,8,20.6810550,10.3695370,7.343
220551967,8,15.5285250,7.9405220,7.344
220631213,8,17.2327500,9.7305060,7.432
220347859,8,9.9456000,3.6526690,7.443
220524013,8,15.4150650,7.3052930,7.510
220374993,8,14.6768400,4.2058000,7.511
220374993,8,14.6768400,4.2058000,7.511
220216322,8,11.4774150,0.5794070,7.519
220182821,8,14.8353600,-0.6746130,7.578
220154484,8,16.7949900,-1.7311870,7.642
220405962,8,15.2112600,4.8339550,7.653
220405962,8,15.2112600,4.8339550,7.653
220548055,8,11.4181650,7.8450210,7.660
220379223,8,8.8692900,4.2946720,7.679
220592791,8,16.6750200,8.8687500,7.699
220373025,8,10.5967950,4.1665710,7.736
220367707,8,12.9844200,4.0602910,7.762
220532854,8,15.7057050,7.5007520,7.939
220369391,8,8.8152000,4.0932680,7.971
220409909,8,16.4551200,4.9083690,7.996
220409909,8,16.4551200,4.9083690,7.996
220624766,8,16.1602350,9.5861080,7.999
220379315,8,14.5783950,4.2965910,8.007
220582710,8,16.7245200,8.6523410,8.030
220487529,8,21.1057950,6.4842990,8.038
220409971,8,16.4643300,4.9094090,8.039
220492184,8,23.6922450,6.5863940,8.043
220716106,8,15.0549150,11.9353400,8.043
220222356,8,13.7558400,0.7895560,8.045
220222356,8,13.7558400,0.7895560,8.045
220694311,8,16.2900000,11.3158170,8.045
220526229,8,15.1267950,7.3538820,8.052
220573465,8,15.3462600,8.4506690,8.061
220329825,8,16.5240600,3.2746700,8.070
220232774,8,19.4273400,1.1518140,8.092
220484031,8,12.4162650,6.4071430,8.110
220456348,8,13.4925900,5.8091520,8.139
220145469,8,17.1335850,-2.0599330,8.165
220508609,8,21.8407500,6.9623940,8.176
220284887,8,16.1817000,2.3137140,8.186
220323282,8,9.8052600,3.1339250,8.187
220296400,8,17.6154300,2.5549560,8.196
220469212,8,16.3796400,6.0708850,8.225
220559705,8,9.9273600,8.1228060,8.232
220537649,8,14.4937500,7.6116270,8.234
220315860,8,21.4194300,2.9720540,8.242
220566349,8,9.6194550,8.2764110,8.248
220168379,8,17.8032900,-1.2743530,8.264
220388171,8,10.2079950,4.4783160,8.321
220437625,8,17.3635650,5.4441320,8.328
220437625,8,17.3635650,5.4441320,8.328
220417763,8,15.6023850,5.0614480,8.334
220505841,8,12.7657500,6.8998470,8.349
220426843,8,15.9194850,5.2354080,8.353
220161242,8,13.8069600,-1.5033070,8.377
220190134,8,13.2250350,-0.3813490,8.383
220568655,8,16.3505400,8.3319940,8.396
220220139,8,20.7095700,0.7120540,8.399
220220139,8,20.7095700,0.7120540,8.399
220294907,8,15.4986750,2.5259600,8.404
220294907,8,15.4986750,2.5259600,8.404
220470099,8,11.5241400,6.0901900,8.422
220433795,8,22.6414350,5.3710560,8.425
220715353,8,15.3407250,11.9127260,8.437
220504920,8,18.4429950,6.8810740,8.446
220567192,8,17.2963350,8.2962420,8.461
220304645,8,19.1499300,2.7348640,8.468
220260370,8,11.2704000,1.7855210,8.476
220258643,8,10.3916550,1.7479540,8.483
220237469,8,10.7399400,1.2927930,8.492
220304398,8,12.0565050,2.7295260,8.497
220514647,8,12.6197250,7.1020730,8.506
220492497,8,18.1627500,6.5933400,8.517
220312606,8,11.9467950,2.9041670,8.518
220617956,8,13.6882500,9.4287870,8.523
220666790,8,19.3069500,10.5966660,8.535
220544741,8,11.0822550,7.7707470,8.536
220234392,8,12.5487600,1.2078380,8.544
220235168,8,18.7674900,1.2340220,8.544
220320436,8,21.2671350,3.0706750,8.558
220626371,8,19.1309550,9.6228540,8.587
220524363,8,18.5456700,7.3128950,8.605
220493630,8,22.7771100,6.6194840,8.612
220703576,8,16.3027800,11.5710120,8.615
220197928,8,12.6663750,-0.0805580,8.630
220180985,8,16.6071600,-0.7494510,8.640
220370837,8,11.0887800,4.1232040,8.640
220288668,8,19.0906800,2.3957200,8.655
220272668,8,10.8227550,2.0536300,8.656
220384956,8,15.6684000,4.4132190,8.656
220599728,8,10.7555700,9.0189820,8.659
220683396,8,12.8128350,11.0184600,8.668
220533366,8,17.6338350,7.5133730,8.672
220699481,8,20.2043400,11.4579830,8.674
220539539,8,10.0412100,7.6560380,8.695
220653241,8,12.0723600,10.2579350,8.695
220297897,8,10.8485400,2.5840990,8.717
220234174,8,16.4094750,1.2010080,8.722
220484407,8,21.8561100,6.4159190,8.733
220477607,8,21.2470950,6.2585450,8.745
220296786,8,22.9169250,2.5626340,8.748
220419937,8,12.0102300,5.1035370,8.753
220244276,8,16.5718050,1.4482740,8.754
220522361,8,13.4560650,7.2711200,8.763
220354492,8,10.6808400,3.7902870,8.767
220179846,8,13.9445550,-0.7948760,8.774
220609224,8,12.7586850,9.2287750,8.774
220710840,8,20.0507700,11.7785220,8.789
220681102,8,19.9147950,10.9576760,8.791
220583285,8,13.1371050,8.6654180,8.797
220225837,8,18.8985450,0.9124570,8.801
220203073,8,19.9285350,0.1057860,8.810
220147388,8,17.8170300,-1.9884710,8.820
220331203,8,14.9712150,3.3027180,8.825
220181028,8,14.5012350,-0.7479120,8.831
220578998,8,10.7676900,8.5739260,8.834
220542353,8,14.7445200,7.7193330,8.837
220255967,8,10.6705500,1.6951580,8.841
220406074,8,11.7081750,4.8363380,8.842
220568814,8,12.7542450,8.3363260,8.842
220355813,8,13.2101850,3.8174980,8.844
220501719,8,19.2296700,6.8116990,8.854
220534872,8,14.2297200,7.5486500,8.854
220190078,8,13.6340400,-0.3834540,8.864
220186169,8,12.8191650,-0.5357010,8.865
220315812,8,22.6214100,2.9712000,8.874
220301335,8,14.7601200,2.6586890,8.875
220563621,8,10.9950300,8.2114260,8.886
220628057,8,18.9609900,9.6598200,8.888
220389892,8,13.9511250,4.5114390,8.889
220541582,8,13.1830950,7.7019360,8.894
220184821,8,16.7687400,-0.5920940,8.895
220242810,8,16.9336650,1.4134360,8.898
220231353,8,13.7029050,1.1008080,8.902
220316834,8,11.9124300,2.9931520,8.903
220193142,8,16.5642450,-0.2653530,8.908
220216222,8,20.8102350,0.5759830,8.909
220454144,8,15.6417900,5.7650560,8.922
220459259,8,15.5733750,5.8666250,8.923
220424451,8,16.8726750,5.1914040,8.926
220499338,8,15.4406850,6.7555510,8.941
220383386,8,8.7396900,4.3814680,8.945
220649485,8,14.1823800,10.1658650,8.946
220621919,8,14.3700000,9.5197220,8.947
220277197,8,15.5487300,2.1471500,8.948
220308638,8,18.6928800,2.8219870,8.952
220652951,8,19.0747800,10.2515820,8.975
220550845,8,19.2714300,7.9138030,8.984
220588213,8,15.2730600,8.7693740,8.987
220411067,8,16.8544950,4.9317900,8.995
220281528,8,17.2583250,2.2401420,9.011
220563448,8,9.8222550,8.2072090,9.016
220211069,8,14.0877000,0.3961080,9.019
220331205,8,13.3689600,3.3027670,9.019
220525247,8,19.5361950,7.3318040,9.023
220295710,8,12.0501450,2.5416650,9.024
220416522,8,16.6139550,5.0381210,9.028
220622287,8,14.3020500,9.5281100,9.030
220659394,8,12.6390600,10.4115760,9.034
220575205,8,9.9922800,8.4892970,9.035
220260945,8,10.4751450,1.7980100,9.038
220528889,8,14.2240800,7.4116520,9.047
220204416,8,18.6319050,0.1523440,9.054
220474553,8,23.2504200,6.1876430,9.055
220500159,8,18.1915950,6.7766800,9.059
220453887,8,11.5812750,5.7603250,9.060
220432441,8,11.6866950,5.3457610,9.065
220469713,8,11.1660000,6.0820030,9.065
220354307,8,18.6718650,3.7866160,9.067
220727623,8,19.4022750,12.2964130,9.068
220599123,8,16.0164600,9.0054790,9.070
220521199,8,15.9659400,7.2469520,9.075
220269104,8,23.5122900,1.9792650,9.076
220410865,8,12.3893100,4.9280530,9.080
220673303,8,12.4756200,10.7547700,9.087
220574369,8,9.5919600,8.4706860,9.088
220522109,8,10.5021000,7.2657310,9.089
220480623,8,21.5318850,6.3287450,9.090
220187825,8,14.2520100,-0.4721490,9.093
220551365,8,10.5634350,7.9266160,9.096
220233297,8,14.5132800,1.1708710,9.097
220644949,8,17.1504750,10.0567710,9.098
220694979,8,16.9200450,11.3341320,9.099
220320882,8,14.8552500,3.0813720,9.105
220379580,8,16.6734750,4.3018140,9.110
220568287,8,14.1048000,8.3233000,9.111
220269206,8,19.7268450,1.9816090,9.115
220627373,8,12.0299550,9.6452300,9.115
220419589,8,17.0347200,5.0969110,9.117
220651572,8,12.0316350,10.2177170,9.119
220191699,8,15.3930000,-0.3203890,9.120
220210636,8,15.0118650,0.3804440,9.121
220363916,8,9.5485800,3.9815650,9.123
220582324,8,11.8075650,8.6440040,9.125
220284165,8,20.9823450,2.2984350,9.127
220245000,8,15.3809100,1.4638720,9.128
220296893,8,18.4330500,2.5643770,9.128
220495553,8,13.1692650,6.6652620,9.129
220504698,8,18.5695350,6.8763250,9.131
220699421,8,14.2989600,11.4560660,9.138
220317842,8,21.1692450,3.0134490,9.150
220444485,8,10.4180400,5.5736380,9.155
220579297,8,17.9312850,8.5800960,9.155
220365983,8,18.2532150,4.0236060,9.156
220510477,8,12.2058000,7.0044880,9.163
220503833,8,12.3711750,6.8585490,9.169
220354121,8,10.5067200,3.7827150,9.175
220481803,8,14.1861150,6.3562600,9.181
220491757,8,19.0770450,6.5770140,9.186
220499562,8,23.6825550,6.7612610,9.187
220240741,8,15.9497250,1.3657250,9.201
220636891,8,12.5833800,9.8621470,9.201
220482363,8,19.8625050,6.3696590,9.211
220612894,8,13.3727250,9.3108480,9.224
220636054,8,12.2003850,9.8434530,9.225
220390128,8,9.4271100,4.5164840,9.229
220318037,8,19.0706700,3.0181860,9.232
220334821,8,17.8660650,3.3775160,9.233
220385913,8,15.6369450,4.4321150,9.234
220188470,8,13.2264900,-0.4476870,9.242
220708251,8,14.1837750,11.7050010,9.245
220215359,8,14.7841200,0.5446270,9.248
220451237,8,22.2946500,5.7072700,9.262
220563581,8,14.4223050,8.2103560,9.267
220284621,8,10.8701250,2.3078350,9.268
220435352,8,11.3972700,5.4001780,9.272
220637885,8,19.2502500,9.8861250,9.272
220523907,8,14.5558350,7.3033230,9.275
220584982,8,15.1796100,8.7018690,9.276
220168079,8,12.8674200,-1.2844130,9.277
220284224,8,18.6678300,2.2995010,9.278
220237106,8,16.1470200,1.2849050,9.279
220465007,8,13.3990500,5.9865800,9.279
220365930,8,12.9055050,4.0224310,9.284
220652905,8,19.0747200,10.2503010,9.286
220211700,8,15.4792050,0.4179080,9.290
220722184,8,14.6159400,12.1254580,9.294
220417012,8,15.0763500,5.0478790,9.297
220454711,8,18.1294350,5.7760480,9.299
220180335,8,13.3455300,-0.7758040,9.304
220384150,8,9.5334450,4.3967660,9.304
220240304,8,16.8036000,1.3551800,9.307
220676095,8,17.3202150,10.8269190,9.307
220666988,8,13.0316700,10.6008840,9.312
220702105,8,18.5517450,11.5295540,9.316
220485263,8,12.0510750,6.4350320,9.318
220240676,8,14.3093100,1.3641630,9.320
220599758,8,17.3349150,9.0196950,9.323
220311218,8,12.3598650,2.8762580,9.326
220190584,8,13.0717200,-0.3645060,9.331
220719458,8,14.4696900,12.0387600,9.331
220644131,8,19.8642150,10.0347000,9.335
220685843,8,19.9723050,11.0827720,9.335
220296220,8,17.3023500,2.5516940,9.338
220320838,8,17.5038000,3.0803290,9.338
